,Artist,Song,Capo,Memorized,Notes,Recording,Chords,Key
,Cake,Perhaps Perhaps Perhaps,,,,,PERHAPS PERHAPS PERHAPS CHORDS by CAKE @ Ultimate-Guitar.Com,
,Cake,You Part The Waters,,,,,YOU PART THE WATERS CHORDS by CAKE @ Ultimate-Guitar.Com,
,Cat Power,Sea of Love,,,,,SEA OF LOVE CHORDS by Cat Power @ Ultimate-Guitar.Com,
,Connie Converse,Talkin' Like You,,,,,TALKIN LIKE YOU TWO TALL MOUNTAINS CHORDS by Connie Converse @ Ultimate-Guitar.Com,
,"Cranberries, The ",Dreams,,,,,DREAMS CHORDS (ver 2) by The Cranberries @ Ultimate-Guitar.Com,
,"Cranberries, The ",Linger,,,,,LINGER ACOUSTIC CHORDS by The Cranberries @ Ultimate-Guitar.Com,
,"Crosby, Stills, Nash",Teach Your Children ,,,,,https://tabs.ultimate-guitar.com/tab/crosby-stills-nash-young/teach-your-children-chords-64088,
,Daft Punk,Get Lucky,,,,,GET LUCKY CHORDS (ver 2) by Daft Punk @ Ultimate-Guitar.Com,
,Danny O'Keefe,Goodtime Charlie's Got The Blues,,,,https://drive.google.com/file/d/169TpjmlFBOs7fjak31iupSHuVMYIdcSQ/view?usp=sharing,https://tabs.ultimate-guitar.com/tab/danny-okeefe/good-time-charlies-got-the-blues-chords-1045446,
,"Decemberists, The",Oceanside,,,"uke, but not great",,OCEANSIDE CHORDS by The Decemberists @ Ultimate-Guitar.Com,
,Desire,Under Your Spell (all I do is sleep all day...),,,,,,
,Dido,Thank You,,,,,,
,Dido,White Flag,,,,,WHITE FLAG CHORDS (ver 4) by Dido @ Ultimate-Guitar.Com,
,Dixie Chicks,Don't Waste Your Heart,,,,,DONT WASTE YOUR HEART CHORDS by Dixie Chicks @ Ultimate-Guitar.Com,
,Dolly Parton,Jolene,,,,,JOLENE CHORDS (ver 2) by Dolly Parton @ Ultimate-Guitar.Com,
,Dolly Parton,Wildflowers,,,uke,,WILDFLOWERS CHORDS by Dolly Parton @ Ultimate-Guitar.Com,
,Don McLean,American Pie,,,,,AMERICAN PIE CHORDS by Don McLean @ Ultimate-Guitar.Com,
,"Donnas, The",Take It Off,,,,,,
,Eagle Eye Cherry,Save Tonight,,,,,SAVE TONIGHT CHORDS by Eagle-Eye Cherry @ Ultimate-Guitar.Com,
,"Eagles, The",Hotel California,,,,,https://tabs.ultimate-guitar.com/tab/eagles/hotel-california-chords-46190,
